Actual,Predicted
38787.01953125,39023.13360669928
38801.171875,38839.347806631595
38963.69921875,38778.6933428919
39461.46875,38974.3922666621
39149.4296875,39433.16144488735
39174.25,39169.14622297818
39270.3984375,39151.998248334065
39164.609375,39286.8352811363
38678.0390625,39144.433522905805
38776.94140625,38699.464633469725
38237.7890625,38773.0815877998
38142.37109375,38270.575151674595
38256.171875,38125.80154233702
37155.5,38292.022159485554
37785.46875,37180.98046042718
37331.1796875,37757.972499238116
37418.23828125,37405.75848930222
37704.9296875,37355.533823539765
36887.171875,37760.3628380335
37028.26953125,36893.00927332602
36793.109375,37013.44640161233
36819.08984375,36837.25857666003
36790.03125,36786.20815599092
37053.1015625,36824.77346750432
37396.51953125,37033.49887696821
37845.421875,37396.05827558831
37751.87890625,37823.8461424877
37677.05859375,37755.90370654095
37608.48828125,37660.58809739281
37780.5390625,37611.81007839764
38027.2890625,37761.69639090883
37799.96875,38024.833778968954
37120.328125,37806.83549627194
35617.55859375,37137.17921065597
35624.48046875,35663.42984838731
35725.87109375,35613.88192722725
34735.9296875,35775.79287036444
33780.578125,34756.71366090833
31136.580078125,33823.59068744793
33012.578125,31201.09780954719
31714.029296875,32901.6277401465
34609.0,31904.144867367257
33585.578125,34242.03565083025
33982.359375,33953.636068161555
34267.5390625,33665.909063562554
33920.3984375,34408.021493198896
34377.6015625,33890.045955823894
34730.28125,34326.59059690031
34279.921875,34753.130070010884
34220.6015625,34291.63610478045
34868.62890625,34193.02001279275
35039.1484375,34853.718392083625
35705.73828125,35051.45925373961
35839.98828125,35638.663366795954
36045.37890625,35865.943694373425
36452.30078125,36002.04537956179
36830.69140625,36441.63521760175
36779.66015625,36816.365507966664
36928.62890625,36782.608878770545
37503.328125,36903.72613066111
37644.26171875,37484.84331985976
38183.26171875,37653.718582423986
38128.12890625,38131.52293017494
37755.51171875,38162.05857823482
37753.71875,37746.960208529796
37498.62890625,37748.16570525737
37529.48828125,37530.17402766674
37298.98046875,37508.247680170825
36985.87109375,37328.91038001346
37160.46875,36986.26080293851
37531.53125,37148.06294787093
37724.109375,37530.37469694453
37722.3984375,37716.92371059904
38432.98046875,37716.830467170534
37965.1015625,38387.69616784538
37470.671875,38030.42668678963
37446.80859375,37438.69668800637
37747.44921875,37461.66244595371
37554.48828125,37741.99199458678
37741.609375,37574.74063776407
38088.5703125,37708.04662689882
38211.51171875,38093.05600422695
38421.19140625,38205.557117256976
38173.08984375,38401.65023943392
37834.25,38196.713134623016
38311.328125,37831.12019193795
38536.73828125,38283.089741544
38885.1484375,38557.92971615564
